Type,Playstyle Name,Count Players
playstyles+,Acrobatic+,4
playstyles+,Aerial Fortress+,4
playstyles+,Anticipate+,7
playstyles+,Block+,5
playstyles+,Bruiser+,7
playstyles+,Chip Shot+,4
playstyles+,Cross Claimer+,4
playstyles+,Dead Ball+,3
playstyles+,Deflector+,3
playstyles+,Enforcer+,2
playstyles+,Far Reach+,2
playstyles+,Far Throw+,3
playstyles+,Finesse Shot+,7
playstyles+,First Touch+,4
playstyles+,Footwork+,1
playstyles+,Gamechanger+,5
playstyles+,Incisive Pass+,4
playstyles+,Intercept+,5
playstyles+,Inventive+,4
playstyles+,Jockey+,6
playstyles+,Long Ball Pass+,5
playstyles+,Long Throw+,9
playstyles+,Low Driven Shot+,3
playstyles+,Pinged Pass+,7
playstyles+,Power Shot+,2
playstyles+,Precision Header+,6
playstyles+,Press Proven+,6
playstyles+,Quick Step+,10
playstyles+,Rapid+,8
playstyles+,Relentless+,10
playstyles+,Rush Out+,3
playstyles+,Slide Tackle+,6
playstyles+,Technical+,6
playstyles+,Tiki Taka+,6
playstyles+,Trickster+,5
playstyles+,Whipped Pass+,5
playstyles,Acrobatic,99
playstyles,Aerial Fortress,1101
playstyles,Anticipate,558
playstyles,Block,562
playstyles,Bruiser,524
playstyles,Chip Shot,119
playstyles,Cross Claimer,266
playstyles,Dead Ball,400
playstyles,Deflector,87
playstyles,Enforcer,332
playstyles,Far Reach,57
playstyles,Far Throw,242
playstyles,Finesse Shot,639
playstyles,First Touch,347
playstyles,Footwork,382
playstyles,Gamechanger,420
playstyles,Incisive Pass,542
playstyles,Intercept,797
playstyles,Inventive,451
playstyles,Jockey,504
playstyles,Long Ball Pass,1148
playstyles,Long Throw,427
playstyles,Low Driven Shot,274
playstyles,Pinged Pass,166
playstyles,Power Shot,291
playstyles,Precision Header,801
playstyles,Press Proven,487
playstyles,Quick Step,533
playstyles,Rapid,917
playstyles,Relentless,552
playstyles,Rush Out,80
playstyles,Slide Tackle,696
playstyles,Technical,1208
playstyles,Tiki Taka,144
playstyles,Trickster,93
playstyles,Whipped Pass,503
